"If you want to 100% check your qb vs this list, the only way I know is to copy/paste your qb from /qb list # command BELOW the last row of this column. Then do a Find and Replace under Edit, Find the following without quotes """" and replace with nothing. After you do this any qb you already have will be highlighted, you can then filter out these higlights using filter by color. (if you need help message Angrboa)",,,,,
Asherons Call Custom Quest QB List,QBs Tracked: 3959,,,,
GaerlanSwordTurnin,Gaerlan's_Citadel,,,Player can only turn in the sword 1 time every 1 days,FALSE
IHOPflag,Tanada_House_of_Pancakes_Quest,,,Player can enter Tanada House of Pancakes,FALSE
WarriorCorthosBet,Monster_Fights,,,Player bet on Warrior Corthos,FALSE
KorgluukofBurBet,Monster_Fights,,,Player bet on Korgluuk of Bur,FALSE
KerthumptheEarTakerBet,Monster_Fights,,,Player bet on Kerthump the EarTaker,FALSE
HeaTnakareaBet,Monster_Fights,,,Player bet on Hea Tnakarea,FALSE
GlormigothBet,Monster_Fights,,,Player bet on Glormigoth,FALSE
DarcuschtheBarbarianBet,Monster_Fights,,,Player bet on Darcusch the Barbarian,FALSE
ChiefGrogbashBet,Monster_Fights,,,Player bet on Chief Grogbash,FALSE
ChampionBullgaraBet,Monster_Fights,,,Player bet on Champion Bullgara,FALSE
DeewainAttacked_0411,Retired,,,Player attacked Deewain.,FALSE
DirelandQueenKiller,,,,Player assisted in killing a newbie nest.,FALSE
DirelandsNestKiller,,,,Player assisted in killing a newbie nest.,FALSE
GlandCollected,,,,Player assisted in killing a newbie nest.,FALSE
HighNestKiller,,,,Player assisted in killing a newbie nest.,FALSE
LowNestKiller,,,,Player assisted in killing a newbie nest.,FALSE
MidNestKiller,,,,Player assisted in killing a newbie nest.,FALSE
NewbieNestKiller,,,,Player assisted in killing a newbie nest.,FALSE
WeedingoftheDeruTree_Repeat,Weeding_of_the_Deru_Tree,,,Player as completed Weeding of the Deru Tree Quest once.,FALSE
PluckerofEyes_Repeat,Eye_of_T'thuun_Quest,,,Player as completed Eye of Tthuun Quest once.,FALSE
PlatinumGolemMountainKingKillTask,Platinum_Golem_Mountain_King_Kill_Task,,,Platinum Golem Mountain King Kill Task,FALSE
platinumgolemmountainkingkillcount,Platinum_Golem_Mountain_King_Kill_Task,,,Platinum Golem Mountain King Kill Counter,FALSE
PlateArmoredilloKillTask,Plate_Armoredillo_Kill_Task,,,Plate Armoredillo Kill Task,FALSE
MutilatedFeather_PickUp,Don't_Feed_the_Fowl,,,Pickup timer on Mutilated Turkey Feather.,FALSE
HolchasHead_PickUp,Gauntlet,,,Pickup timer on Holchas Head.,FALSE
HelmofTrembOrh_PickUp,Gauntlet,,,Pickup timer on Helm of TrembOrh.,FALSE
GromnusEye_PickUp,Gauntlet,,,Pickup timer on Gromnus Eye.,FALSE
PickedUpVeryMadCowToken,Colosseum_Bosses,,,Pickup timer for Very Mad Cow Token,FALSE
TuskerExperimentLogPickupTimer,Monouga_Laboratory,,,Pickup timer for Tusker Experiment Log,FALSE
PickedUpThunderChickenToken,Colosseum_Bosses,,,Pickup timer for Thunder Chicken Token,FALSE
PickedUpTheMasterToken,Colosseum_Bosses,,,Pickup timer for The Master Token,FALSE
SwordofSorokuPickupTimer,Tanada_Battle_Burrows_Quest,,,Pickup timer for Sword of Soroku,FALSE
ShatteredMasterBloodstoneShardPickedUp,Bloodstone_Investigation,,,Pickup timer for Shattered Master Bloodstone,FALSE
PickedUpRatKingsTail,Rat_Catcher,,,Pickup timer for Rat King's Tail,FALSE
PickedUpPumpkinKingToken,Colosseum_Bosses,,,Pickup timer for Pumpkin King Token,FALSE
OlthoiExperimentLogPickupTimer,Monouga_Laboratory,,,Pickup timer for Olthoi Experiment Log,FALSE
ERQLegKeyPickupTimer,Empyrean_Rescue_Quest,,,Pickup timer for Legendary Key at the end of Empyrean Rescue Quest,FALSE
HeroToken,,,,Pickup timer for Hero Tokens,FALSE
PickedUpHaroushKey,Adept_Test,,,Pickup timer for Haroush Key,FALSE
grazertrust,Of_Trust_and_Betrayal,,,Pickup timer for Grazer Bug,FALSE
PickedUpMarkerBoss10x,Colosseum_Bosses,,,Pickup timer for Gladiator Diemos Token,FALSE
EngorgedBloodstoneShardPickupTimer,Bloodstone_Investigation,,,Pickup timer for Engorged Bloodstone Shard,FALSE
PickedUpDemonSwarmMatronToken,Colosseum_Bosses,,,Pickup timer for Demon Swarm Matron Token,FALSE
DarkApostateShardPickupTimer,Empyrean_Rescue_Quest,,,Pickup timer for Dark Apostate Shard,FALSE
GregorsCarefullyRolledScrollPickedUp,Bloodstone_Investigation,,,Pickup timer for carefully rolled scroll,FALSE
mawpickedup,Non-quest,,,Pickup timer for Bloodmouth Maw,FALSE
PickedUpUlgrimsRing,Ulgrim's_Casting_Stein,,,Picked up Ulgrim's Stout,FALSE
superbimprintingmotepickedup,Crafting_Golems,,,Picked up the Superb Imprinting Mote,FALSE
OrdersTorgluukPickedUp,Blackmire_Lore,,,Picked up the orders from Torgluuk.,FALSE
OrdersMorgluukPickedUp,Blackmire_Lore,,,Picked up the orders from Morgluuk.,FALSE
DeterioratedAegisPickup,Sanguinary_Aegis_Quest,,,Picked up the Deteriorated Aegis,FALSE
HarkerKilled,Sunstone_and_Opal_Gauntlets_Quest,,,Picked up the deflated Harker Head.,FALSE
StorageBoxPickup,,,,Picked up Storage Box (42111),FALSE
PickedUpShadeIronOreHammer,Shade_Iron,,,Picked up Shade Iron Ore Hammer,FALSE
KeyKnorrSentinelPickedUp,Halls_of_Knorr,,,Picked up Sentinel Key,FALSE
SealedTomePickupTimer,Halt_Dericost_Ritual_Quest,,,Picked up Sealed Tome,FALSE
PickedUpROT2Crystal,,,,Picked up ROT2 crystal,FALSE
GotAtlatlRenegadeRaids,Renegade_Weapons,,,Picked up Renegade Hunting Brace,FALSE
GotCrossBowRenegadeRaids,Renegade_Weapons,,,Picked up Renegade Crossbow,FALSE
GotBowRenegadeRaids,Renegade_Weapons,,,Picked up Renegade Bow,FALSE
GotAxeRenegadeRaids,Renegade_Weapons,,,Picked up Renegade Axe,FALSE
pookytokenpickuptimer,Fuzzy_Bunny_Slayer_Quest,,,Picked up Pooky Token,FALSE
PickedUpPonMiConfession,Tanada_House_of_Pancakes_Quest,,,Picked up Pon Mi's confession,FALSE
PickedUpHiypPickaxe,Olthoi_Shield_Quest,,,Picked up pickaxe,FALSE
GaveCrestToNarg,Olthoi_Weapons_Quest,,,Picked up note,FALSE
GaveFemurToDanta,Olthoi_Weapons_Quest,,,Picked up note,FALSE
GaveLeatherToNanoc,Olthoi_Weapons_Quest,,,Picked up note,FALSE
GotOlthoiAtlatl,Olthoi_Weapons_Quest,,,Picked up note,FALSE
PickedUpOlthoiFemur,Olthoi_Weapons_Quest,,,Picked up note,FALSE
PickedUpOlthoiScoutNote8,Olthoi_Weapons_Quest,,,Picked up note,FALSE
MarkoftheOverlord_PickUp,Overlord's_Sword_Quest,,,Picked up Mark of the Overlord,FALSE
DericostLegKeyPickupTimer,Halt_Dericost_Ritual_Quest,,,Picked up Legendary Key in Hidden Treasury,FALSE
LegKey48914PickUp,Foundry_of_Izexi_Quest,,,Picked up Legendary Key in Foundry of Izexi.,FALSE
LargeTome3PickupTimer,Strathelar_Royal_Cloak_Quest,,,Picked up Large Tome in Warded Dungeon Passage,FALSE
LargeTome4PickupTimer,Strathelar_Royal_Cloak_Quest,,,Picked up Large Tome in Neftet Temple,FALSE
LargeTome2PickupTimer,Strathelar_Royal_Cloak_Quest,,,Picked up Large Tome in Frozen Wight Lair,FALSE
LargeTome1PickupTimer,Strathelar_Royal_Cloak_Quest,,,Picked up Large Tome in Apostate Nexus,FALSE
JournalKixktiPickedUp,Blackmire_Lore,,,Picked up Kixkti's journal.,FALSE
JournalJexkiPickedUp,Blackmire_Lore,,,Picked up Jexkii's journal.,FALSE
JournalIxirPickedUp,Blackmire_Lore,,,Picked up Ixir's journal.,FALSE
JournalIbrexiPickedUp,Blackmire_Lore,,,Picked up Ibrexi's journal.,FALSE
hotcoalpickuptimer,Assault_on_Frost_Haven,,,Picked up Hot Coal,FALSE
headoftheapparitionolthoiqueenpickuptimer,Black_Death_Catacombs_Quiddity_Seed_Quest,,,Picked up Head of the Apparition Olthoi Queen,FALSE
headofrheagapickuptimer,Aerbax's_Prodigal_Tumerok,,,Picked up Head of Rheaga,FALSE
HagrasHead,Hea_Bone_and_Hide_Shirt_Quest,,,Picked up Head of Big Chief Hagra,FALSE
frozenpresentpickuptimer,Assault_on_Frost_Haven,,,Picked up Frozen Present,FALSE
KeyKnorrElderPickedUp,Halls_of_Knorr,,,Picked up Elder Key,FALSE
KeyKnorrDefenderPickedUp,Halls_of_Knorr,,,Picked up Defender Key,FALSE
boneylumpoffleshpickuptimer,Shield_of_Isin_Dule_Quest,,,Picked up Boney Lump of Flesh,FALSE
AncientFalatacotSymbolPickUp,Foundry_of_Izexi_Quest,,,Picked up Ancient Falatacot Symbol in Foundry of Izexi.,FALSE
AttributeRaisingGemPickedUp,Attribute_and_Skill_Redistribution,,,Picked up an attribute raising gem.,FALSE
AttributeLoweringGemPickedUp,Attribute_and_Skill_Redistribution,,,Picked up an attribute lowering gem.,FALSE
SkillAlterationGemPickedUp,Attribute_and_Skill_Redistribution,,,Picked up a skill alteration gem.,FALSE
PickedUpRottenEgg,Retired,,,Picked up a Rotten Egg,FALSE
skillloweringgempickedup,Attribute_and_Skill_Redistribution,,,Picked up a forgetfulness gem.,FALSE
PickedUpColoredEgg,Retired,,,Picked up a Colored Egg,FALSE
ChampionQuest03,Virindi_Scalpel_Quest,,,Pick up VirindiScalpelHilt,FALSE
ChampionQuest02,Virindi_Scalpel_Quest,,,Pick up VirindiScalpelBlade,FALSE
InvasionQuest10,,,,Pick up Olthoi Carapace,FALSE
platinumlegionchestkey,Defense_of_Zaikhal_(Platinum),,,Pick Up Key for Platinum Chest,FALSE
goldlegionchestkey,Defense_of_Zaikhal_(Gold),,,Pick Up Key for Gold Chest,FALSE
platinumlegiondoorkey,Defense_of_Zaikhal_(Platinum),,,Pick Up Key for Door to Platinum Legion,FALSE
goldlegiondoorkey,Defense_of_Zaikhal_(Gold),,,Pick Up Key for Door to Gold Legion,FALSE
copperlegionchestkey,Defense_of_Zaikhal_(Copper),,,Pick Up Key for Copper Chest,FALSE
PhyntosLarvaKillTask,Phyntos_Larva_Kill_Task,,,Phyntos Larva Kill Task,FALSE
phyntoslarvakillcount,Phyntos_Larva_Kill_Task,,,Phyntos Larva Kill Counter,FALSE
PetGolemCastSpellOnOwner,,,,Pet Golem cast spell on Pet Owner,FALSE
fachubblackmire,,,,PERMANENT - FC Blackmire Lore Quest,FALSE
LesserBenedictionAug,XP_Augmentation,,,PERMANENT - Completion check for Asheron's Lesser Benediction Augment,FALSE
ColoTicketPayment,Colosseum_Arena,,,Payment Received In Full for Colo Ticket,FALSE
ParadoxTouchedNymphKillTask,Paradox-touched_Nymph_Kill_Task,,,Paradox-touched Nymph Kill Task,FALSE
paradoxtouchednymphkillcount,Paradox-touched_Nymph_Kill_Task,,,Paradox-touched Nymph Kill Counter,FALSE
ParadoxTouchedGrubKillTask,Paradox-touched_Grub_Kill_Task,,,Paradox-touched Grub Kill Task,FALSE
paradoxtouchedgrubkillcount,Paradox-touched_Grub_Kill_Task,,,Paradox-touched Grub Kill Counter,FALSE
ParadoxNymphKillTask,,,,Paradox Nymph Kill Task,FALSE
ParadoxNymphKillTaskWait,,,,Paradox Nymph Kill Task,FALSE
ParadoxGrubKillTask,,,,Paradox Grub Kill Task,FALSE
ParadoxGrubKillTaskWait,,,,Paradox Grub Kill Task,FALSE
orangemonsterseed,House_Plants,,,Orange Monster Seed counter,FALSE
CoffinQuestLockedLowHoltburgDungeon,,,,Opened a CoffinQuestLockedLowHoltburgDungeon.,FALSE
ChestQuestUnlockedNewbiePOIA,,,,Opened a ChestQuestUnlockedNewbie.,FALSE
ChestQuestUnlockedNewbiePOIB,,,,Opened a ChestQuestUnlockedNewbie.,FALSE
ChestQuestUnlockedNewbiePOIC,,,,Opened a ChestQuestUnlockedNewbie.,FALSE
ChestQuestUnlockedNewbiePOID,,,,Opened a ChestQuestUnlockedNewbie.,FALSE
ChestQuestUnlockedNewbiePOIE,,,,Opened a ChestQuestUnlockedNewbie.,FALSE
ChestQuestUnlockedNewbiePOIF,,,,Opened a ChestQuestUnlockedNewbie.,FALSE
ChestQuestUnlockedNewbiePOIG,,,,Opened a ChestQuestUnlockedNewbie.,FALSE
ChestQuestUnlockedMid,,,,Opened a ChestQuestUnlockedMid.,FALSE
ChestQuestUnlockedMidPOIA,,,,Opened a ChestQuestUnlockedMid.,FALSE
ChestQuestUnlockedMidPOIB,,,,Opened a ChestQuestUnlockedMid.,FALSE
ChestQuestUnlockedMidPOIC,,,,Opened a ChestQuestUnlockedMid.,FALSE
ChestQuestUnlockedMidPOID,,,,Opened a ChestQuestUnlockedMid.,FALSE
ChestQuestUnlockedMidPOIE,,,,Opened a ChestQuestUnlockedMid.,FALSE
ChestQuestUnlockedMidPOIF,,,,Opened a ChestQuestUnlockedMid.,FALSE
ChestQuestUnlockedMidPOIG,,,,Opened a ChestQuestUnlockedMid.,FALSE
ChestQuestUnlockedLowRatNest,,,,Opened a ChestQuestUnlockedLowRatNest.,FALSE
ChestQuestUnlockedLowHedgedPlatform,,,,Opened a ChestQuestUnlockedLowHedgedPlatform.,FALSE
ChestQuestUnlockedLowDungeonFern,,,,Opened a ChestQuestUnlockedLowDungeonFern.,FALSE
ChestQuestUnlockedLowDaiklos,,,,Opened a ChestQuestUnlockedLowDaiklos.,FALSE
ChestQuestUnlockedLow,,,,Opened a ChestQuestUnlockedLow.,FALSE
ChestQuestUnlockedLowPOIA,,,,Opened a ChestQuestUnlockedLow.,FALSE
ChestQuestUnlockedLowPOIB,,,,Opened a ChestQuestUnlockedLow.,FALSE
ChestQuestUnlockedLowPOIC,,,,Opened a ChestQuestUnlockedLow.,FALSE
ChestQuestUnlockedLowPOID,,,,Opened a ChestQuestUnlockedLow.,FALSE
ChestQuestUnlockedLowPOIE,,,,Opened a ChestQuestUnlockedLow.,FALSE
ChestQuestUnlockedLowPOIF,,,,Opened a ChestQuestUnlockedLow.,FALSE
ChestQuestUnlockedLowPOIG,,,,Opened a ChestQuestUnlockedLow.,FALSE
ChestQuestUnlockedHigh,,,,Opened a ChestQuestUnlockedHigh.,FALSE
ChestQuestUnlockedHighPOIA,,,,Opened a ChestQuestUnlockedHigh.,FALSE
ChestQuestUnlockedHighPOIB,,,,Opened a ChestQuestUnlockedHigh.,FALSE
ChestQuestUnlockedHighPOIC,,,,Opened a ChestQuestUnlockedHigh.,FALSE
ChestQuestUnlockedHighPOID,,,,Opened a ChestQuestUnlockedHigh.,FALSE
ChestQuestUnlockedHighPOIE,,,,Opened a ChestQuestUnlockedHigh.,FALSE
ChestQuestUnlockedHighPOIF,,,,Opened a ChestQuestUnlockedHigh.,FALSE
ChestQuestUnlockedHighPOIG,,,,Opened a ChestQuestUnlockedHigh.,FALSE
ChestQuestLockedNewbiePOIA,,,,Opened a ChestQuestLockedNewbie.,FALSE
ChestQuestLockedNewbiePOIB,,,,Opened a ChestQuestLockedNewbie.,FALSE
ChestQuestLockedNewbiePOIC,,,,Opened a ChestQuestLockedNewbie.,FALSE
ChestQuestLockedNewbiePOID,,,,Opened a ChestQuestLockedNewbie.,FALSE
ChestQuestLockedNewbiePOIE,,,,Opened a ChestQuestLockedNewbie.,FALSE
ChestQuestLockedNewbiePOIF,,,,Opened a ChestQuestLockedNewbie.,FALSE
ChestQuestLockedNewbiePOIG,,,,Opened a ChestQuestLockedNewbie.,FALSE
ChestQuestLockedMidMushroomAltar,,,,Opened a ChestQuestLockedMidMushroomAltar.,FALSE
ChestQuestLockedMidHoltburgRuin,,,,Opened a ChestQuestLockedMidHoltburgRuin.,FALSE
ChestQuestLockedMidHilltopDrudgeTower,,,,Opened a ChestQuestLockedMidHilltopDrudgeTower.,FALSE
ChestQuestLockedMidDaiklos,,,,Opened a ChestQuestLockedMidDaiklos.,FALSE
ChestQuestLockedMidBanderlingBanditTower,,,,Opened a ChestQuestLockedMidBanderlingBanditTower.,FALSE
ChestQuestLockedMidPOIA,,,,Opened a ChestQuestLockedMid.,FALSE
ChestQuestLockedMidPOIB,,,,Opened a ChestQuestLockedMid.,FALSE
ChestQuestLockedMidPOIC,,,,Opened a ChestQuestLockedMid.,FALSE
ChestQuestLockedMidPOID,,,,Opened a ChestQuestLockedMid.,FALSE
ChestQuestLockedMidPOIE,,,,Opened a ChestQuestLockedMid.,FALSE
ChestQuestLockedMidPOIF,,,,Opened a ChestQuestLockedMid.,FALSE
ChestQuestLockedMidPOIG,,,,Opened a ChestQuestLockedMid.,FALSE
ChestQuestLockedLowRatNest,,,,Opened a ChestQuestLockedLowRatNest.,FALSE
ChestQuestLockedLowLichHut,,,,Opened a ChestQuestLockedLowLichHut.,FALSE
ChestQuestLockedLowGolemMound,,,,Opened a ChestQuestLockedLowGolemMound.,FALSE
ChestQuestLockedLow,,,,Opened a ChestQuestLockedLow.,FALSE
ChestQuestLockedLowPOIA,,,,Opened a ChestQuestLockedLow.,FALSE
ChestQuestLockedLowPOIB,,,,Opened a ChestQuestLockedLow.,FALSE
ChestQuestLockedLowPOIC,,,,Opened a ChestQuestLockedLow.,FALSE
ChestQuestLockedLowPOID,,,,Opened a ChestQuestLockedLow.,FALSE
ChestQuestLockedLowPOIE,,,,Opened a ChestQuestLockedLow.,FALSE
ChestQuestLockedLowPOIF,,,,Opened a ChestQuestLockedLow.,FALSE
ChestQuestLockedLowPOIG,,,,Opened a ChestQuestLockedLow.,FALSE
ChestQuestLockedHigh,,,,Opened a ChestQuestLockedHigh.,FALSE
ChestQuestLockedHighPOIA,,,,Opened a ChestQuestLockedHigh.,FALSE
ChestQuestLockedHighPOIB,,,,Opened a ChestQuestLockedHigh.,FALSE
ChestQuestLockedHighPOIC,,,,Opened a ChestQuestLockedHigh.,FALSE
ChestQuestLockedHighPOID,,,,Opened a ChestQuestLockedHigh.,FALSE
ChestQuestLockedHighPOIE,,,,Opened a ChestQuestLockedHigh.,FALSE
ChestQuestLockedHighPOIF,,,,Opened a ChestQuestLockedHigh.,FALSE
ChestQuestLockedHighPOIG,,,,Opened a ChestQuestLockedHigh.,FALSE
ChestQuestLockedExtremePOIA,,,,Opened a ChestQuestLockedExtreme.,FALSE
ChestQuestLockedExtremePOIB,,,,Opened a ChestQuestLockedExtreme.,FALSE
ChestQuestLockedExtremePOIC,,,,Opened a ChestQuestLockedExtreme.,FALSE
ChestQuestLockedExtremePOID,,,,Opened a ChestQuestLockedExtreme.,FALSE
ChestQuestLockedExtremePOIE,,,,Opened a ChestQuestLockedExtreme.,FALSE
ChestQuestLockedExtremePOIF,,,,Opened a ChestQuestLockedExtreme.,FALSE
ChestQuestLockedExtremePOIG,,,,Opened a ChestQuestLockedExtreme.,FALSE
ChestQuestAubereanMap,Resting_Place_Quest,,,Opened a ChestQuest,FALSE
ChestQuestCoinAttachment,,,,Opened a ChestQuest,FALSE
ChestQuestDarkMonolith,Dark_Monolith_Quest,,,Opened a ChestQuest,FALSE
ChestQuestDarkTowers,Dark_Towers,,,Opened a ChestQuest,FALSE
ChestQuestDeepCaverns,,,,Opened a ChestQuest,FALSE
ChestQuestGibbering,,,,Opened a ChestQuest,FALSE
ChestQuestLairHomunculus,The_Homunculus,,,Opened a ChestQuest,FALSE
ChestQuestRelic,,,,Opened a ChestQuest,FALSE
ChestQuestRestingPlace,Resting_Place_Quest,,,Opened a ChestQuest,FALSE
ChestQuestWizardsBlade,,,,Opened a ChestQuest,FALSE
KnightsStash,Fort_Tethana_Tug_of_War,,,Open timer for Knight's Stash Chest,FALSE
TotMBucketBalanced,Aerbax's_Prodigal_Lugian,,,One of the Buckets is balanced in Trial of the Mind,FALSE
KilltaskOlthoiNymph,Olthoi_Nymph_Kill_Task,,,Olthoi Nymph Kill Task,FALSE
KilltaskOlthoiNymphWait,Olthoi_Nymph_Kill_Task,,,Olthoi Nymph Kill Task,FALSE
OlthoiNymphKillTask,Olthoi_Nymph_Kill_Task,,,Olthoi Nymph Kill Task,FALSE
olthoinymphkillcount,Olthoi_Nymph_Kill_Task,,,Olthoi Nymph Kill Counter,FALSE
KilltaskOlthoiNettler,Olthoi_Nettler_Kill_Task,,,Olthoi Nettler Kill Task,FALSE
KilltaskOlthoiNettlerWait,Olthoi_Nettler_Kill_Task,,,Olthoi Nettler Kill Task,FALSE
OlthoiNettlerKillTask,Olthoi_Nettler_Kill_Task,,,Olthoi Nettler Kill Task,FALSE
olthoinettlerkillcount,Olthoi_Nettler_Kill_Task,,,Olthoi Nettler Kill Counter,FALSE
KilltaskOlthoiDrone,Olthoi_Drone_Kill_Task,,,Olthoi Drone Kill Task,FALSE
KilltaskOlthoiDroneWait,Olthoi_Drone_Kill_Task,,,Olthoi Drone Kill Task,FALSE
OlthoiDroneKillTask,Olthoi_Drone_Kill_Task,,,Olthoi Drone Kill Task,FALSE
olthoidronekillcount,Olthoi_Drone_Kill_Task,,,Olthoi Drone Kill Counter,FALSE
xikminrutrophy32024,,,,Offering of Xi Minru given,FALSE
xikminrutrophy70094,,,,Offering of Xi Minru given,FALSE
xikminrutrophy70096,,,,Offering of Xi Minru given,FALSE
xikminrutrophy70097,,,,Offering of Xi Minru given,FALSE
HopeslayerObsidianKey,,,,Obsidian Key,FALSE
MaskDirectorOct01,New_Singular_Repositories,,,Obsidian Director Mask,FALSE
HopeslayerObsidianDagger,Empyrean_Cloister_Quest,,,Obsidian Dagger,FALSE
NyrlehaSclavusKillTask,Nyr'leha_Sclavus_Kill_Task,,,Nyr'leha Sclavus Kill Task,FALSE
nyrlehasclavuskillcount,Nyr'leha_Sclavus_Kill_Task,,,Nyr'leha Sclavus Kill Counter,FALSE
NyrlehaMoarsmanKillTask,Nyr'leha_Moarsman_Kill_Task,,,Nyr'leha Moarsman Kill Task,FALSE
nyrlehamoarsmankillcount,Nyr'leha_Moarsman_Kill_Task,,,Nyr'leha Moarsman Kill Counter,FALSE
